2026-06-19T09:57:34.663328699Z I0619 09:57:34.663083      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.003482059387830024 seatDemandStdev=0.06181148149036363 seatDemandSmoothed=0.1796405769181238 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T09:59:03.300731050Z I0619 09:59:03.300540      10 controller.go:231] Updating CRD OpenAPI spec because vmdistributed.operator.victoriametrics.com changed
2026-06-19T09:59:03.301313802Z I0619 09:59:03.301163      10 controller.go:231] Updating CRD OpenAPI spec because ciliumpodippools.cilium.io changed
2026-06-19T09:59:03.301321871Z I0619 09:59:03.301197      10 controller.go:231] Updating CRD OpenAPI spec because ciliumloadbalancerippools.cilium.io changed
2026-06-19T09:59:03.311379338Z I0619 09:59:03.311191      10 controller.go:231] Updating CRD OpenAPI spec because kubenticagents.kubentic.io changed
2026-06-19T09:59:03.317290748Z I0619 09:59:03.317094      10 controller.go:231] Updating CRD OpenAPI spec because ciliumidentities.cilium.io changed
2026-06-19T09:59:03.317829346Z I0619 09:59:03.317580      10 controller.go:231] Updating CRD OpenAPI spec because vmagents.operator.victoriametrics.com changed
2026-06-19T09:59:03.320771454Z I0619 09:59:03.320595      10 controller.go:231] Updating CRD OpenAPI spec because vmclusters.operator.victoriametrics.com changed
2026-06-19T09:59:03.322170288Z I0619 09:59:03.322017      10 controller.go:231] Updating CRD OpenAPI spec because vmscrapeconfigs.operator.victoriametrics.com changed
2026-06-19T09:59:04.677291340Z I0619 09:59:04.674039      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=4 seatDemandAvg=0.013185731536967116 seatDemandStdev=0.12704645903591832 seatDemandSmoothed=0.15912083284524148 fairFrac=2.3333333333333335 currentCL=4 concurrencyDenominator=4 backstop=false
2026-06-19T09:59:14.675730943Z I0619 09:59:14.675461      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.004893468672220796 seatDemandStdev=0.06978196498075122 seatDemandSmoothed=0.15717858866381929 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T09:59:34.677692077Z I0619 09:59:34.677392      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.0030847420617846908 seatDemandStdev=0.0574042051673914 seatDemandSmoothed=0.1527442005794869 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T09:59:44.678898393Z I0619 09:59:44.678626      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.0020619343161203244 seatDemandStdev=0.04536168805276464 seatDemandSmoothed=0.15032182728064306 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:00:04.690913098Z I0619 10:00:04.682246      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.037027213982506746 seatDemandStdev=0.24405349600510945 seatDemandSmoothed=0.2810807099876162 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T10:00:10.024672215Z I0619 10:00:10.018173      10 trace.go:236] Trace[1849823180]: "Get" accept:application/json,audit-id:22aeb4ec-e3a0-42dd-b2bd-99c57aeb2072,client:172.20.237.164,api-group:,api-version:v1,name:ebs-csi-controller-79687fbb4f-swppk,subresource:log,namespace:kube-system,protocol:HTTP/1.1,resource:pods,scope:resource,url:/api/v1/namespaces/kube-system/pods/ebs-csi-controller-79687fbb4f-swppk/log,user-agent:OpenAPI-Generator/31.0.0/python,verb:CONNECT (19-Jun-2026 10:00:09.462) (total time: 538ms):
2026-06-19T10:00:10.024689725Z Trace[1849823180]: ---"Writing http response done" 523ms (10:00:10.000)
2026-06-19T10:00:10.024693688Z Trace[1849823180]: [538.088514ms] [538.088514ms] END
2026-06-19T10:00:10.887617874Z I0619 10:00:10.863176      10 trace.go:236] Trace[430077289]: "Get" accept:application/json,audit-id:6e8711ea-f7e4-4b86-bf04-3bf02a1afbe9,client:172.20.237.164,api-group:,api-version:v1,name:kops-controller-j2ljb,subresource:log,namespace:kube-system,protocol:HTTP/1.1,resource:pods,scope:resource,url:/api/v1/namespaces/kube-system/pods/kops-controller-j2ljb/log,user-agent:OpenAPI-Generator/31.0.0/python,verb:CONNECT (19-Jun-2026 10:00:10.086) (total time: 776ms):
2026-06-19T10:00:10.887682987Z Trace[430077289]: ---"Writing http response done" 745ms (10:00:10.863)
2026-06-19T10:00:10.887687626Z Trace[430077289]: [776.360368ms] [776.360368ms] END
2026-06-19T10:00:10.887694152Z I0619 10:00:10.864141      10 trace.go:236] Trace[21684762]: "Get" accept:application/json,audit-id:9d32a3b4-9e43-4a96-8ee5-3c3e41ebe04d,client:172.20.237.164,api-group:,api-version:v1,name:kube-controller-manager-i-0010bc1572a60c430,subresource:log,namespace:kube-system,protocol:HTTP/1.1,resource:pods,scope:resource,url:/api/v1/namespaces/kube-system/pods/kube-controller-manager-i-0010bc1572a60c430/log,user-agent:OpenAPI-Generator/31.0.0/python,verb:CONNECT (19-Jun-2026 10:00:10.183) (total time: 680ms):
2026-06-19T10:00:10.887697914Z Trace[21684762]: ---"Writing http response done" 653ms (10:00:10.864)
2026-06-19T10:00:10.887700841Z Trace[21684762]: [680.469081ms] [680.469081ms] END
2026-06-19T10:00:11.204203349Z I0619 10:00:11.203603      10 trace.go:236] Trace[778114839]: "Get" accept:application/json,audit-id:e1649ec2-ec19-42eb-9755-2a70a3fa1383,client:172.20.237.164,api-group:,api-version:v1,name:kube-apiserver-i-0010bc1572a60c430,subresource:log,namespace:kube-system,protocol:HTTP/1.1,resource:pods,scope:resource,url:/api/v1/namespaces/kube-system/pods/kube-apiserver-i-0010bc1572a60c430/log,user-agent:OpenAPI-Generator/31.0.0/python,verb:CONNECT (19-Jun-2026 10:00:10.088) (total time: 1114ms):
2026-06-19T10:00:11.204233851Z Trace[778114839]: ---"Writing http response done" 994ms (10:00:11.203)
2026-06-19T10:00:11.204237499Z Trace[778114839]: [1.114670195s] [1.114670195s] END
2026-06-19T10:00:11.910701492Z I0619 10:00:11.908778      10 trace.go:236] Trace[1975113551]: "Get" accept:application/json,audit-id:aa349008-8d44-4126-994d-96a6b95ca370,client:172.20.237.164,api-group:,api-version:v1,name:etcd-manager-events-i-0010bc1572a60c430,subresource:log,namespace:kube-system,protocol:HTTP/1.1,resource:pods,scope:resource,url:/api/v1/namespaces/kube-system/pods/etcd-manager-events-i-0010bc1572a60c430/log,user-agent:OpenAPI-Generator/31.0.0/python,verb:CONNECT (19-Jun-2026 10:00:10.020) (total time: 1888ms):
2026-06-19T10:00:11.910756623Z Trace[1975113551]: ---"Writing http response done" 1865ms (10:00:11.908)
2026-06-19T10:00:11.910760727Z Trace[1975113551]: [1.888281893s] [1.888281893s] END
2026-06-19T10:00:11.928581155Z I0619 10:00:11.928201      10 trace.go:236] Trace[1211575977]: "Get" accept:application/json,audit-id:0f46d5d5-540f-44f3-83a9-1c504ed27b33,client:172.20.237.164,api-group:,api-version:v1,name:etcd-manager-main-i-0010bc1572a60c430,subresource:log,namespace:kube-system,protocol:HTTP/1.1,resource:pods,scope:resource,url:/api/v1/namespaces/kube-system/pods/etcd-manager-main-i-0010bc1572a60c430/log,user-agent:OpenAPI-Generator/31.0.0/python,verb:CONNECT (19-Jun-2026 10:00:10.024) (total time: 1903ms):
2026-06-19T10:00:11.928602461Z Trace[1211575977]: ---"Writing http response done" 1882ms (10:00:11.928)
2026-06-19T10:00:11.928605804Z Trace[1211575977]: [1.903916534s] [1.903916534s] END
2026-06-19T10:00:14.682961553Z I0619 10:00:14.682703      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.03451009116923985 seatDemandStdev=0.18253532473669476 seatDemandSmoothed=0.27960789822373755 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:00:34.684274340Z I0619 10:00:34.684051      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.0032697517248037327 seatDemandStdev=0.0574527227112264 seatDemandSmoothed=0.26975079911369726 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T10:00:44.686202519Z I0619 10:00:44.685602      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.002611095395321969 seatDemandStdev=0.051032122983063304 seatDemandSmoothed=0.2647803247567851 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:01:04.689647540Z I0619 10:01:04.688461      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=4 seatDemandAvg=0.042837564969441744 seatDemandStdev=0.2224728373461605 seatDemandSmoothed=0.2653104023156022 fairFrac=2.3333333333333335 currentCL=4 concurrencyDenominator=4 backstop=false
2026-06-19T10:01:14.689886993Z I0619 10:01:14.689264      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.012114614954758839 seatDemandStdev=0.10939767392068614 seatDemandSmoothed=0.2620030457064786 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:01:34.691722862Z I0619 10:01:34.691422      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.0034273417781776998 seatDemandStdev=0.05861603304766179 seatDemandSmoothed=0.252714954442092 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T10:01:44.693252838Z I0619 10:01:44.692807      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.0028809433165184147 seatDemandStdev=0.053597047326559163 seatDemandSmoothed=0.24820150427471468 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:02:04.694565027Z I0619 10:02:04.694309      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.04389577906736232 seatDemandStdev=0.2050782592593313 seatDemandSmoothed=0.24897403832669363 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T10:02:14.695265808Z I0619 10:02:14.694955      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.0024897220236144595 seatDemandStdev=0.049834960698886765 seatDemandSmoothed=0.2444511031477972 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:02:34.697649353Z I0619 10:02:34.697366      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.0031477855147955575 seatDemandStdev=0.05887679702726139 seatDemandSmoothed=0.23591611035803622 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T10:02:44.698461105Z I0619 10:02:44.698198      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.005470953389425786 seatDemandStdev=0.07376328394558174 seatDemandSmoothed=0.23231242727850654 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:03:04.699627320Z I0619 10:03:04.699377      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=4 seatDemandAvg=0.010183496720572574 seatDemandStdev=0.16681189631174384 seatDemandSmoothed=0.2269673755160033 fairFrac=2.3333333333333335 currentCL=4 concurrencyDenominator=4 backstop=false
2026-06-19T10:03:14.700936597Z I0619 10:03:14.700619      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.003546495291908782 seatDemandStdev=0.05944676326809771 seatDemandSmoothed=0.2231959708260154 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:03:34.702338564Z I0619 10:03:34.702100      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.0030645533616623388 seatDemandStdev=0.055533856119242574 seatDemandSmoothed=0.21549086459523312 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T10:03:44.703565956Z I0619 10:03:44.703311      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.002915235425249798 seatDemandStdev=0.05391416166152606 seatDemandSmoothed=0.21184165084253861 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:04:03.014913579Z I0619 10:04:03.014677      10 cidrallocator.go:242] syncing ServiceCIDR allocators
2026-06-19T10:04:03.014949725Z I0619 10:04:03.014719      10 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 100.64.0.0/13
2026-06-19T10:04:03.015009912Z I0619 10:04:03.014728      10 cidrallocator.go:244] syncing ServiceCIDR allocators took: 60.662µs
2026-06-19T10:04:03.199778321Z I0619 10:04:03.196191      10 controller.go:231] Updating CRD OpenAPI spec because vtsingles.operator.victoriametrics.com changed
2026-06-19T10:04:03.225880555Z I0619 10:04:03.225374      10 controller.go:231] Updating CRD OpenAPI spec because vmsingles.operator.victoriametrics.com changed
2026-06-19T10:04:03.241345218Z I0619 10:04:03.241100      10 controller.go:231] Updating CRD OpenAPI spec because vtclusters.operator.victoriametrics.com changed
2026-06-19T10:04:03.242352256Z I0619 10:04:03.241493      10 controller.go:231] Updating CRD OpenAPI spec because vmnodescrapes.operator.victoriametrics.com changed
2026-06-19T10:04:03.273600022Z I0619 10:04:03.273346      10 controller.go:231] Updating CRD OpenAPI spec because vmdistributed.operator.victoriametrics.com changed
2026-06-19T10:04:03.273923942Z I0619 10:04:03.273829      10 controller.go:231] Updating CRD OpenAPI spec because ciliumpodippools.cilium.io changed
2026-06-19T10:04:03.278243795Z I0619 10:04:03.278023      10 controller.go:231] Updating CRD OpenAPI spec because ciliumloadbalancerippools.cilium.io changed
2026-06-19T10:04:03.282411011Z I0619 10:04:03.279823      10 controller.go:231] Updating CRD OpenAPI spec because kubenticagents.kubentic.io changed
2026-06-19T10:04:03.282925408Z I0619 10:04:03.282742      10 controller.go:231] Updating CRD OpenAPI spec because ciliumidentities.cilium.io changed
2026-06-19T10:04:03.290423400Z I0619 10:04:03.290219      10 controller.go:231] Updating CRD OpenAPI spec because vmagents.operator.victoriametrics.com changed
2026-06-19T10:04:03.290713961Z I0619 10:04:03.290631      10 controller.go:231] Updating CRD OpenAPI spec because vmclusters.operator.victoriametrics.com changed
2026-06-19T10:04:03.309412823Z I0619 10:04:03.309243      10 controller.go:231] Updating CRD OpenAPI spec because vmscrapeconfigs.operator.victoriametrics.com changed
2026-06-19T10:04:03.310690092Z I0619 10:04:03.310512      10 controller.go:231] Updating CRD OpenAPI spec because ciliumnodes.cilium.io changed
2026-06-19T10:04:03.324500803Z I0619 10:04:03.324326      10 controller.go:231] Updating CRD OpenAPI spec because ciliumendpoints.cilium.io changed
2026-06-19T10:04:03.326034045Z I0619 10:04:03.325033      10 controller.go:231] Updating CRD OpenAPI spec because ciliumnodeconfigs.cilium.io changed
2026-06-19T10:04:03.326218564Z I0619 10:04:03.326106      10 controller.go:231] Updating CRD OpenAPI spec because vmpodscrapes.operator.victoriametrics.com changed
2026-06-19T10:04:03.349569659Z I0619 10:04:03.349358      10 controller.go:231] Updating CRD OpenAPI spec because ciliumnetworkpolicies.cilium.io changed
2026-06-19T10:04:03.349875451Z I0619 10:04:03.349791      10 controller.go:231] Updating CRD OpenAPI spec because ciliuml2announcementpolicies.cilium.io changed
2026-06-19T10:04:03.372248552Z I0619 10:04:03.372049      10 controller.go:231] Updating CRD OpenAPI spec because vmanomalyconfigs.operator.victoriametrics.com changed
2026-06-19T10:04:03.408922633Z I0619 10:04:03.408741      10 controller.go:231] Updating CRD OpenAPI spec because vmanomalies.operator.victoriametrics.com changed
2026-06-19T10:04:03.409096804Z I0619 10:04:03.408992      10 controller.go:231] Updating CRD OpenAPI spec because vmservicescrapes.operator.victoriametrics.com changed
2026-06-19T10:04:03.409248140Z I0619 10:04:03.409127      10 controller.go:231] Updating CRD OpenAPI spec because vlsingles.operator.victoriametrics.com changed
2026-06-19T10:04:03.427520810Z I0619 10:04:03.427285      10 controller.go:231] Updating CRD OpenAPI spec because vlclusters.operator.victoriametrics.com changed
2026-06-19T10:04:03.451188617Z I0619 10:04:03.450935      10 controller.go:231] Updating CRD OpenAPI spec because vmrules.operator.victoriametrics.com changed
2026-06-19T10:04:03.458155897Z I0619 10:04:03.457929      10 controller.go:231] Updating CRD OpenAPI spec because vmalerts.operator.victoriametrics.com changed
2026-06-19T10:04:03.472616127Z I0619 10:04:03.471342      10 controller.go:231] Updating CRD OpenAPI spec because ciliumclusterwidenetworkpolicies.cilium.io changed
2026-06-19T10:04:03.473123696Z I0619 10:04:03.472958      10 controller.go:231] Updating CRD OpenAPI spec because ciliumcidrgroups.cilium.io changed
2026-06-19T10:04:03.477228086Z I0619 10:04:03.477059      10 controller.go:231] Updating CRD OpenAPI spec because vmusers.operator.victoriametrics.com changed
2026-06-19T10:04:03.477590627Z I0619 10:04:03.477495      10 controller.go:231] Updating CRD OpenAPI spec because vmprobes.operator.victoriametrics.com changed
2026-06-19T10:04:03.482222278Z I0619 10:04:03.478838      10 controller.go:231] Updating CRD OpenAPI spec because vlogs.operator.victoriametrics.com changed
2026-06-19T10:04:03.497231326Z I0619 10:04:03.496986      10 controller.go:231] Updating CRD OpenAPI spec because vmstaticscrapes.operator.victoriametrics.com changed
2026-06-19T10:04:03.497257420Z I0619 10:04:03.497046      10 controller.go:231] Updating CRD OpenAPI spec because vlagents.operator.victoriametrics.com changed
2026-06-19T10:04:03.503801703Z I0619 10:04:03.497560      10 controller.go:231] Updating CRD OpenAPI spec because vmalertmanagerconfigs.operator.victoriametrics.com changed
2026-06-19T10:04:03.504947336Z I0619 10:04:03.504768      10 controller.go:231] Updating CRD OpenAPI spec because vmalertmanagers.operator.victoriametrics.com changed
2026-06-19T10:04:03.505110410Z I0619 10:04:03.504811      10 controller.go:231] Updating CRD OpenAPI spec because vmauths.operator.victoriametrics.com changed
2026-06-19T10:04:04.706010702Z I0619 10:04:04.705709      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.011331742509957972 seatDemandStdev=0.10594489836194793 seatDemandSmoothed=0.20608449703357498 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T10:04:14.707200757Z I0619 10:04:14.706906      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.004530461012521765 seatDemandStdev=0.06715605658118846 seatDemandSmoothed=0.2029933435064581 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:04:34.708228853Z I0619 10:04:34.707997      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=4 seatDemandAvg=0.004296965892781255 seatDemandStdev=0.08624877235595461 seatDemandSmoothed=0.1971590994202508 fairFrac=2.3333333333333335 currentCL=4 concurrencyDenominator=4 backstop=false
2026-06-19T10:04:44.709646702Z I0619 10:04:44.709400      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.0028354631326172014 seatDemandStdev=0.05317352049131945 seatDemandSmoothed=0.1939126467569356 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:05:04.711166461Z I0619 10:05:04.710927      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.006527372498674575 seatDemandStdev=0.08339192526057064 seatDemandSmoothed=0.18835437097466162 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T10:05:14.712277967Z I0619 10:05:14.712017      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.004899701740635886 seatDemandStdev=0.06982617463021082 seatDemandSmoothed=0.18574091559877387 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:05:34.712961760Z I0619 10:05:34.712749      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.0031705779543873564 seatDemandStdev=0.056924726217191426 seatDemandSmoothed=0.17987272030734788 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T10:05:44.713968278Z I0619 10:05:44.713715      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.002440026268189044 seatDemandStdev=0.04933632069783469 seatDemandSmoothed=0.17692650372049742 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T10:05:54.715241936Z I0619 10:05:54.714993      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=4 seatDemandAvg=0.00319613186273206 seatDemandStdev=0.0790563639584353 seatDemandSmoothed=0.17474900153881281 fairFrac=2.3333333333333335 currentCL=4 concurrencyDenominator=4 backstop=false
